buncher1	-90
buncher2	-90
cm1-1   -33
cm1-2   -32
cm1-3   -40
cm1-4	-34
cm1-5   -30
cm1-6   -37
cm2-1   -30
cm2-2   -23
cm2-3   -26
cm2-4   -24
cm2-5	-22
cm2-6   -35
cm3-1   -38
cm3-2   -23
cm3-3	-21
cm3-4	-20
cm3-5   -20
cm3-6   -40
cm4-1   -25
cm4-2   -20
cm4-3   -18
cm4-4   -16




