Bpm:12-P11	Bpm:13-P11	Bpm:14-P11	Bpm:15-P11
-178.0	136.31066845 208.18322705 341.56109565  49.89811652
-163.0	133.91976877 241.87046765 333.32368415  37.27468832
-148.0	136.08737138 248.92616228 345.3984828   54.4402766 
-133.0	139.19142095 261.74803107   8.00601143  86.73747203
-118.0	145.7444911  285.50981095  49.07661387 145.0809169 
-103.0	151.8078457  310.95510817  93.92733718 209.28584245
-88.0	161.3619686  346.1811213  154.9784999  296.18440205
-73.0	168.6640315   16.43691973 208.29734762  12.24371298
-58.0	173.52094987  39.74441485 250.18423412  72.45689345
-43.0	175.1704097   53.96717783 276.9382778  111.72944585
-28.0	181.44827223  74.24272103 311.34965468 160.09963935
-13.0	185.12718155  84.70610005 328.687591   184.2632441 
2.0	181.92782537  81.16561843 324.6604151  179.82023575
17.0	185.94346575  88.04800368 334.62707465 192.6359248 
32.0	182.19575453  78.74395705 319.59805248 172.04891918
47.0	180.80104015  68.47915595 304.2842097  144.61015273
62.0	173.75015207  48.45231578 267.32400465  97.89916942
77.0	171.26449535  31.70819043 236.1007228   52.32966568
92.0	163.03422503   5.77825872 192.4649501  351.1518855 
107.0	158.42518563 339.95544382 145.3131403  282.88037065
122.0	150.63464297 310.85320995  94.7150569  210.81225535
137.0	143.85058552 283.10600232  46.1208796  141.29626427
152.0	140.91957035 266.68281507  16.13713017  97.90603592
167.0	137.62545732 254.63864082 355.3478389   68.33221388
