Bpm:2-P11	Bpm:5-P11	Bpm:6-P11	Bpm:7-P11
-178.0	 80.10955768 139.5690759  246.2292933  270.22412055
-163.0	 83.52383377 156.85551402 244.43838453 258.06761125
-148.0	 87.08175618 174.23025467 239.92890875 251.48213147
-133.0	 90.78510997 191.9978938  235.81315563 245.5724482 
-118.0	 93.39189105 205.70759535 233.9147182  238.24882453
-103.0	 96.44018508 223.55364943 233.54708817 222.23048353
-88.0	 99.06234695 239.6304927  236.4378657  197.8629451 
-73.0	100.77113298 251.37075763 242.36498973 172.63627572
-58.0	101.81126353 257.92190497 246.184524   171.13842725
-43.0	101.88514655 255.2314906  245.39309645 180.16575572
-28.0	100.96284442 243.8423763  240.55169635 194.50538588
-13.0	 98.7426448  228.16763248 237.27777055 213.86247203
2.0	 95.95664925 209.48304705 237.19578508 230.87960765
17.0	 92.54498248 190.0633387  238.29510455 243.4398646 
32.0	 88.8968348  170.7827449  241.326507   253.51432755
47.0	 84.99764967 151.6262965  243.68705695 266.83882092
62.0	 82.26425117 137.6365809  243.51003983 278.9403986 
77.0	 78.91355848 119.7608638  241.52522228 295.5331874 
92.0	 76.22396795 104.85145522 236.86042735 307.79090832
107.0	 74.34008753  94.7232966  232.34298657 313.8252863 
122.0	 73.39388987  91.20725962 231.52505448 318.96565198
137.0	 73.46461437  94.60601765 236.09825093 322.4227747 
152.0	 74.57492013 104.44702102 242.8547053  317.57601872
167.0	 76.52622933 118.71112013 247.40304515 297.3437343 
