Bpm:16-P11	Bpm:17-P11	Bpm:18-P11	Bpm:19-P11
-178.0	337.05409195  93.576324   210.32652233 317.60705518
-163.0	338.94593762  98.12974497 217.66978398 327.58470105
-148.0	342.68293725 107.58993478 232.60391187 348.22677563
-133.0	346.56413213 118.42163038 250.67216442  13.06727555
-118.0	348.80479385 126.29154912 258.45295673 116.12383977
-103.0	350.20129338 135.60012775 281.2193751   57.29067945
-88.0	350.50204415 141.55416822 292.64076185  74.45956375
-73.0	354.4175715  152.86280777 311.42051647 100.63133188
-58.0	355.33616592 158.71234083 322.32005265 116.53253125
-43.0	355.61384535 161.97486828 328.65710403 125.80155888
-28.0	264.75924632 162.35142465 330.28019672 128.64742995
-13.0	355.73524422 163.45829713 331.60597178 130.10888622
2.0	330.615005   163.3856502  330.96038773 128.88130143
17.0	356.54534863 161.16064402 326.1408229  121.63444462
32.0	354.22462412 154.7211452  315.65890458 106.92539927
47.0	352.01403752 146.78585765 302.01209972  87.6265407 
62.0	351.7654719  140.29074052 289.29528763  68.6861109 
77.0	348.8127588  131.11495933 273.97045847  47.17185912
92.0	345.9118189  121.42144722 257.41653387  23.84197947
107.0	344.15071053 113.31669565 242.466888    91.84268142
122.0	342.11219745 105.15220595 228.68000743 342.65656995
137.0	341.1599574  100.17979382 219.63290363 329.5360102 
152.0	338.3740992   95.08914137 212.1723628  319.67564342
167.0	338.91380262  95.06758068 211.51606702 318.520431  
