Bpm:8-P11	Bpm:9-P11	Bpm:10-P11	Bpm:11-P11
-178.0	 61.24850412 204.70028633 218.3852686   91.22730963
-163.0	 52.7761225  135.34332225 234.28674267 352.76069598
-148.0	 40.56042425 103.4692377  161.32392837 195.3142543 
-133.0	 25.53703252  37.92851205  67.27436772 351.4184413 
-118.0	  9.83111528 337.5563044  322.35713145 122.25970408
-103.0	353.66006415 274.8110499  213.2979122  244.24845827
-88.0	337.70997568 208.45294145  96.69808918 347.36064095
-73.0	324.98107865 155.94886732 274.5487513  145.29336503
-58.0	309.565887    87.81124833 215.64953553 172.9069514 
-43.0	295.19261125  18.75709487 120.99737505 325.91422987
-28.0	288.5846095  343.15026803  56.82719375 181.7420192 
-13.0	286.68768263 324.676208    21.93749945  99.21505678
2.0	290.90258735 330.1806331   28.61814828 106.27583262
17.0	299.94680745 179.34493965  77.76315263 215.02400152
32.0	318.08221382  64.35736033 189.7311396  109.08984325
47.0	334.32948255 126.35884045 298.35749772  77.72154192
62.0	 86.71714737 218.9167324  143.96676588  79.1656947 
77.0	 15.56899975 300.8236538  277.0029597   19.95515383
92.0	 33.83225968 108.50427197  56.57340957 315.75654547
107.0	 53.82311965 105.39500375 174.58332775 212.91709855
122.0	 63.76657058 152.03649855 257.2904659   34.68891858
137.0	 66.86924695 173.08286995 295.87472482 121.51277108
152.0	 67.50013688 180.92518573 310.81928963 155.61845345
167.0	 65.44596818 176.95568797 304.9133143  144.19253487
