Bpm:9-P11	Bpm:10-P11	Bpm:11-P11	Bpm:11-P11
-178.0	150.4061274  300.87515212 208.45033212 208.45033212
-163.0	137.23091073 252.75503485  62.99313305  62.99313305
-148.0	121.95442155 194.62939398 247.89866585 247.89866585
-133.0	107.49160713 131.18815565  48.53402653  48.53402653
-118.0	 93.7334284   73.7497096  227.50158645 227.50158645
-103.0	82.42231705 26.38407848 77.04547077 77.04547077
-88.0	 75.80017043 349.5090174  315.31777908 315.31777908
-73.0	 72.00823933 331.1321863  254.98086497 254.98086497
-58.0	 75.53553722 339.3076624  272.9617763  272.9617763 
-43.0	86.40898092 16.70265147 20.44624277 20.44624277
-28.0	101.4789272   71.7915339  184.77795353 184.77795353
-13.0	113.24912975 120.4447626  336.09992935 336.09992935
2.0	129.88723703 185.69284003 176.95719865 176.95719865
17.0	147.6591334  257.68926947  40.8076166   40.8076166 
32.0	162.50495863 321.75727792 243.56620747 243.56620747
47.0	175.12797495  16.74920602  57.72395275  57.72395275
62.0	185.8789211   61.6466213  198.84759478 198.84759478
77.0	191.35409505  87.10606343 280.97767592 280.97767592
92.0	193.1911464   98.64184523 319.6976161  319.6976161 
107.0	191.68711802  95.59588583 312.48687695 312.48687695
122.0	186.79215957  78.21922255 260.3737788  260.3737788 
137.0	178.86428785  51.00938368 179.73234512 179.73234512
152.0	169.79164073  18.04531807  80.87956193  80.87956193
167.0	160.7632136 340.8655238 326.0854793 326.0854793
