Bpm:16-P11	Bpm:16-P11	Bpm:17-P11	Bpm:18-P11
-178.0	 80.09362742  80.09362742  95.91297868 111.25826978
-163.0	 86.86875865  86.86875865 106.87005565 126.3087153 
-148.0	113.76878315 113.76878315 146.2322841  178.03619332
-133.0	137.86866708 137.86866708 182.6251826  226.81082102
-118.0	165.23670905 165.23670905 222.03190562 278.41635085
-103.0	221.79624888 221.79624888 305.0473475   28.12774613
-88.0	253.70906015 253.70906015 262.66456568  91.52572582
-73.0	289.59342897 289.59342897  45.9688564  162.10340833
-58.0	325.58505193 325.58505193  98.26309152 230.7016291 
-43.0	346.52279613 346.52279613 128.65869085 270.64984083
-28.0	354.49406387 354.49406387 140.35665843 286.28970293
-13.0	267.35160775 267.35160775 144.64297445 291.848373  
2.0	355.6391139  355.6391139  142.05294755 288.53805498
17.0	348.89199782 348.89199782 131.31367447 273.74977067
32.0	329.9850763  329.9850763  103.9481044  237.87199365
47.0	300.87844793 300.87844793  61.14001415 181.33373975
62.0	268.6720271  268.6720271   13.55424463 118.4490962 
77.0	236.2158046  236.2158046  325.6564632   55.33195445
92.0	202.9617     202.9617     277.24740552 351.66714423
107.0	167.14833017 167.14833017 224.0977473  280.6743159 
122.0	132.86878913 132.86878913 173.73710592 214.01353407
137.0	104.02432205 104.02432205 131.44303852 158.3074947 
152.0	 82.37466375  82.37466375 100.04823258 117.20695448
167.0	73.72279305 73.72279305 87.1132045  99.91241398
