Bpm:5-P11	Bpm:6-P11	Bpm:7-P11	Bpm:8-P11
-178.0	151.29945328 130.9541468   38.9761958  300.8427424 
-163.0	149.38439892 124.82720895  30.1960597  289.74984692
-148.0	150.06953375 129.86032048  38.32127322 301.05628928
-133.0	152.2493586  141.8284144   57.34918158 326.72969005
-118.0	156.16735787 160.60198917  86.81739755   6.45693923
-103.0	161.30030777 184.32875008 123.85862683  56.6593776 
-88.0	165.792068   204.54235793 155.39501907  99.5528865 
-73.0	172.07281457 232.37361098 198.44686845 158.16014047
-58.0	178.47880507 267.30216932 252.1251063  216.59641975
-43.0	186.15962162 293.15739385 291.49516242 284.09600783
-28.0	191.39735368 315.32931462 325.2337641  329.20806827
-13.0	195.56350657 332.67851205 351.36639355   4.07606453
2.0	198.4835353  344.1573024    8.70735125  27.09049935
17.0	199.84721323 348.56831303  15.3915706   35.80512958
32.0	199.63819835 346.48654133  11.90890453  31.00836127
47.0	197.73207043 336.71118125 356.81698562  10.5210566 
62.0	194.42065378 320.20875503 331.22268628 335.92510937
77.0	189.65299937 297.86187688 296.60476637 289.07899422
92.0	183.8163752  270.7673946  254.70263622 232.0637965 
107.0	178.92155413 248.38536015 219.95947215 184.55218455
122.0	172.18061775 218.25796458 173.34956313 120.61958263
137.0	165.50999398 189.35691775 128.49513203  59.75395152
152.0	158.01814228 157.42968708  79.14331003 353.76910348
167.0	153.53077645 139.21600292  51.20809895 316.90118353
